shipment_id,order_id,shipment_date,carrier,tracking_number,delivery_date,shipment_status
4587,4587,7/4/2024,FedEx,TRK567403,7/6/2024,Shipped
4588,4588,9/8/2024,UPS,TRK491661,9/13/2024,Shipped
4589,4589,9/2/2024,DHL,TRK376908,9/8/2024,Shipped
4590,4590,5/23/2024,FedEx,TRK961983,5/31/2024,Shipped
4591,4591,8/20/2024,UPS,TRK310271,8/22/2024,Shipped
4592,4592,10/9/2024,DHL,TRK302416,10/12/2024,Delivered
4593,4593,5/18/2024,FedEx,TRK277033,5/23/2024,Delivered
4594,4594,9/1/2024,UPS,TRK460763,9/7/2024,Delivered
4595,4595,1/4/2024,DHL,TRK009598,1/11/2024,Shipped
4596,4596,6/15/2024,FedEx,TRK293158,6/19/2024,Delivered
4597,4597,12/12/2023,UPS,TRK245675,12/18/2023,Shipped
4598,4598,2/2/2024,DHL,TRK036460,2/5/2024,Delivered
4599,4599,7/12/2024,FedEx,TRK227487,7/14/2024,Shipped
4600,4600,1/2/2024,UPS,TRK857969,1/8/2024,Delivered
4601,4601,9/17/2024,DHL,TRK065556,9/22/2024,Delivered
4602,4602,10/31/2024,FedEx,TRK055664,11/1/2024,Cancelled
4603,4603,1/3/2024,UPS,TRK729852,1/4/2024,Pending
4604,4604,7/3/2024,DHL,TRK511290,7/6/2024,Pending
4605,4605,8/28/2024,FedEx,TRK510745,9/3/2024,Shipped
4606,4606,2/24/2024,UPS,TRK514496,3/2/2024,Shipped
4607,4607,12/10/2023,DHL,TRK676551,12/15/2023,Delivered
4608,4608,6/29/2024,FedEx,TRK680027,7/7/2024,Delivered
4609,4609,3/20/2024,UPS,TRK507499,3/24/2024,Cancelled
4610,4610,8/17/2024,DHL,TRK557940,8/22/2024,Delivered
4611,4611,5/11/2024,FedEx,TRK142274,5/17/2024,Cancelled
4612,4612,9/24/2024,UPS,TRK676385,9/25/2024,Delivered
4613,4613,9/28/2024,DHL,TRK944676,9/30/2024,Pending
4614,4614,6/5/2024,FedEx,TRK221563,6/11/2024,Shipped
4615,4615,2/8/2024,UPS,TRK239148,2/11/2024,Shipped
4616,4616,7/23/2024,DHL,TRK553081,7/29/2024,Delivered
4617,4617,8/9/2024,FedEx,TRK532907,8/14/2024,Pending
4618,4618,5/18/2024,UPS,TRK948970,5/24/2024,Delivered
4619,4619,6/4/2024,DHL,TRK086441,6/7/2024,Pending
4620,4620,4/3/2024,FedEx,TRK059786,4/5/2024,Delivered
4621,4621,12/21/2023,UPS,TRK584124,12/26/2023,Delivered
4622,4622,5/11/2024,DHL,TRK928447,5/18/2024,Shipped
4623,4623,9/14/2024,FedEx,TRK937194,9/20/2024,Shipped
4624,4624,1/9/2024,UPS,TRK482683,1/14/2024,Shipped
4625,4625,6/17/2024,DHL,TRK285142,6/20/2024,Shipped
4626,4626,8/30/2024,FedEx,TRK472844,9/4/2024,Pending
4627,4627,12/10/2023,UPS,TRK620684,12/15/2023,Pending
4628,4628,10/26/2024,DHL,TRK372727,10/28/2024,Pending
4629,4629,7/30/2024,FedEx,TRK380016,7/31/2024,Pending
4630,4630,10/17/2024,UPS,TRK517275,10/25/2024,Cancelled
4631,4631,9/3/2024,DHL,TRK811921,9/4/2024,Shipped
4632,4632,11/9/2023,FedEx,TRK934098,11/14/2023,Shipped
4633,4633,9/23/2024,UPS,TRK474919,9/29/2024,Delivered
4634,4634,3/25/2024,DHL,TRK434408,3/30/2024,Delivered
4635,4635,9/28/2024,FedEx,TRK959345,10/5/2024,Pending
4636,4636,7/29/2024,UPS,TRK659895,7/31/2024,Shipped
4637,4637,2/15/2024,DHL,TRK574016,2/23/2024,Shipped
4638,4638,3/2/2024,FedEx,TRK265476,3/5/2024,Shipped
4639,4639,2/9/2024,UPS,TRK793322,2/12/2024,Shipped
4640,4640,5/18/2024,DHL,TRK715295,5/20/2024,Shipped
4641,4641,7/17/2024,FedEx,TRK170274,7/23/2024,Shipped
4642,4642,1/14/2024,UPS,TRK163452,1/17/2024,Cancelled
4643,4643,2/23/2024,DHL,TRK142432,3/1/2024,Shipped
4644,4644,6/11/2024,FedEx,TRK129314,6/19/2024,Shipped
4645,4645,1/18/2024,UPS,TRK598192,1/21/2024,Cancelled
4646,4646,9/2/2024,DHL,TRK877188,9/3/2024,Pending
4647,4647,5/21/2024,FedEx,TRK848343,5/23/2024,Pending
4648,4648,5/5/2024,UPS,TRK266840,5/9/2024,Shipped
4649,4649,12/29/2023,DHL,TRK088876,1/5/2024,Delivered
4650,4650,12/1/2023,FedEx,TRK669866,12/6/2023,Pending
4651,4651,6/7/2024,UPS,TRK881158,6/13/2024,Cancelled
4652,4652,1/22/2024,DHL,TRK427729,1/29/2024,Shipped
4653,4653,3/25/2024,FedEx,TRK307050,3/28/2024,Delivered
4654,4654,5/30/2024,UPS,TRK993749,6/3/2024,Shipped
4655,4655,9/5/2024,DHL,TRK723611,9/9/2024,Delivered
4656,4656,8/24/2024,FedEx,TRK434047,9/1/2024,Shipped
4657,4657,7/27/2024,UPS,TRK152200,8/2/2024,Pending
4658,4658,9/1/2024,DHL,TRK037896,9/3/2024,Cancelled
4659,4659,6/18/2024,FedEx,TRK125187,6/21/2024,Pending
4660,4660,10/30/2024,UPS,TRK511270,10/31/2024,Cancelled
4661,4661,3/31/2024,DHL,TRK947567,4/7/2024,Delivered
4662,4662,3/29/2024,FedEx,TRK898632,4/4/2024,Pending
4663,4663,5/28/2024,UPS,TRK994985,6/5/2024,Delivered
4664,4664,3/26/2024,DHL,TRK617451,4/1/2024,Delivered
4665,4665,8/31/2024,FedEx,TRK545110,9/5/2024,Shipped
4666,4666,9/23/2024,UPS,TRK828044,9/24/2024,Delivered
4667,4667,8/28/2024,DHL,TRK126770,8/31/2024,Pending
4668,4668,6/18/2024,FedEx,TRK115532,6/23/2024,Shipped
4669,4669,3/17/2024,UPS,TRK625427,3/24/2024,Pending
4670,4670,3/22/2024,DHL,TRK758132,3/27/2024,Delivered
4671,4671,5/29/2024,FedEx,TRK747842,6/3/2024,Pending
4672,4672,11/12/2023,UPS,TRK450091,11/16/2023,Delivered
4673,4673,9/30/2024,DHL,TRK122273,10/5/2024,Shipped
4674,4674,8/3/2024,FedEx,TRK045457,8/5/2024,Shipped
4675,4675,10/16/2024,UPS,TRK995696,10/19/2024,Cancelled
4676,4676,12/18/2023,DHL,TRK093635,12/23/2023,Pending
4677,4677,6/15/2024,FedEx,TRK776110,6/16/2024,Shipped
4678,4678,12/19/2023,UPS,TRK156994,12/26/2023,Delivered
4679,4679,3/7/2024,DHL,TRK870839,3/9/2024,Pending
4680,4680,8/23/2024,FedEx,TRK672651,8/27/2024,Shipped
4681,4681,4/22/2024,UPS,TRK335941,4/29/2024,Pending
4682,4682,10/13/2024,DHL,TRK907090,10/20/2024,Shipped
4683,4683,10/12/2024,FedEx,TRK441744,10/19/2024,Pending
4684,4684,8/8/2024,UPS,TRK828056,8/14/2024,Pending
4685,4685,7/13/2024,DHL,TRK376563,7/15/2024,Pending
4686,4686,7/3/2024,FedEx,TRK921720,7/11/2024,Shipped
4687,4687,11/23/2023,UPS,TRK783130,11/28/2023,Delivered
4688,4688,5/16/2024,DHL,TRK452471,5/19/2024,Pending
4689,4689,5/31/2024,FedEx,TRK146412,6/3/2024,Pending
4690,4690,10/9/2024,UPS,TRK413811,10/10/2024,Shipped
4691,4691,11/2/2024,DHL,TRK300277,11/10/2024,Pending
4692,4692,10/12/2024,FedEx,TRK763898,10/18/2024,Delivered
4693,4693,2/3/2024,UPS,TRK429345,2/6/2024,Delivered
4694,4694,7/1/2024,DHL,TRK267181,7/8/2024,Shipped
4695,4695,12/14/2023,FedEx,TRK195622,12/21/2023,Pending
4696,4696,6/29/2024,UPS,TRK769320,7/6/2024,Shipped
4697,4697,9/1/2024,DHL,TRK262319,9/3/2024,Cancelled
4698,4698,9/3/2024,FedEx,TRK575769,9/8/2024,Shipped
4699,4699,12/6/2023,UPS,TRK578813,12/12/2023,Shipped
4700,4700,5/19/2024,DHL,TRK701348,5/21/2024,Shipped
4701,4701,1/3/2024,FedEx,TRK132408,1/9/2024,Delivered
4702,4702,10/27/2024,UPS,TRK014178,10/31/2024,Delivered
4703,4703,9/5/2024,DHL,TRK538167,9/7/2024,Shipped
4704,4704,5/9/2024,FedEx,TRK646629,5/15/2024,Delivered
4705,4705,11/12/2023,UPS,TRK588484,11/16/2023,Delivered
4706,4706,12/12/2023,DHL,TRK111344,12/15/2023,Shipped
4707,4707,10/2/2024,FedEx,TRK314405,10/7/2024,Delivered
4708,4708,8/14/2024,UPS,TRK823686,8/20/2024,Cancelled
4709,4709,7/2/2024,DHL,TRK906613,7/7/2024,Delivered
4710,4710,7/9/2024,FedEx,TRK595038,7/15/2024,Cancelled
4711,4711,4/6/2024,UPS,TRK497471,4/12/2024,Shipped
4712,4712,4/1/2024,DHL,TRK113900,4/6/2024,Shipped
4713,4713,4/30/2024,FedEx,TRK592143,5/2/2024,Shipped
4714,4714,12/24/2023,UPS,TRK911984,12/29/2023,Pending
4715,4715,7/13/2024,DHL,TRK402075,7/16/2024,Pending
4716,4716,12/18/2023,FedEx,TRK669267,12/19/2023,Delivered
4717,4717,12/30/2023,UPS,TRK147294,12/31/2023,Delivered
4718,4718,1/7/2024,DHL,TRK768272,1/13/2024,Shipped
4719,4719,3/20/2024,FedEx,TRK930496,3/22/2024,Delivered
4720,4720,9/4/2024,UPS,TRK252577,9/10/2024,Pending
4721,4721,3/5/2024,DHL,TRK286040,3/12/2024,Shipped
4722,4722,8/6/2024,FedEx,TRK043023,8/7/2024,Shipped
4723,4723,4/11/2024,UPS,TRK074559,4/16/2024,Shipped
4724,4724,12/23/2023,DHL,TRK982429,12/29/2023,Shipped
4725,4725,10/22/2024,FedEx,TRK155536,10/28/2024,Shipped
4726,4726,2/8/2024,UPS,TRK212207,2/13/2024,Delivered
4727,4727,7/26/2024,DHL,TRK765247,8/1/2024,Shipped
4728,4728,3/17/2024,FedEx,TRK312508,3/24/2024,Shipped
4729,4729,6/14/2024,UPS,TRK446264,6/16/2024,Pending
4730,4730,1/2/2024,DHL,TRK882261,1/5/2024,Delivered
4731,4731,8/31/2024,FedEx,TRK230880,9/2/2024,Shipped
4732,4732,8/2/2024,UPS,TRK808152,8/8/2024,Delivered
4733,4733,1/17/2024,DHL,TRK769784,1/24/2024,Pending
4734,4734,3/19/2024,FedEx,TRK477148,3/22/2024,Shipped
4735,4735,8/18/2024,UPS,TRK047312,8/25/2024,Delivered
4736,4736,3/16/2024,DHL,TRK016753,3/18/2024,Shipped
4737,4737,9/30/2024,FedEx,TRK533025,10/6/2024,Delivered
4738,4738,6/17/2024,UPS,TRK489442,6/24/2024,Shipped
4739,4739,7/22/2024,DHL,TRK838867,7/27/2024,Shipped
4740,4740,3/20/2024,FedEx,TRK650209,3/22/2024,Delivered
4741,4741,12/15/2023,UPS,TRK817722,12/21/2023,Pending
4742,4742,6/5/2024,DHL,TRK964784,6/8/2024,Pending
4743,4743,8/9/2024,FedEx,TRK592525,8/11/2024,Delivered
4744,4744,8/10/2024,UPS,TRK358136,8/17/2024,Delivered
4745,4745,2/24/2024,DHL,TRK375227,2/27/2024,Shipped
4746,4746,11/20/2023,FedEx,TRK187059,11/27/2023,Delivered
4747,4747,7/27/2024,UPS,TRK907079,8/2/2024,Delivered
4748,4748,7/10/2024,DHL,TRK666524,7/15/2024,Delivered
4749,4749,11/3/2024,FedEx,TRK147776,11/8/2024,Delivered
4750,4750,11/5/2024,UPS,TRK683104,11/10/2024,Pending
4751,4751,3/16/2024,DHL,TRK670858,3/18/2024,Shipped
4752,4752,3/7/2024,FedEx,TRK203233,3/9/2024,Shipped
4753,4753,9/1/2024,UPS,TRK390062,9/6/2024,Delivered
4754,4754,1/21/2024,DHL,TRK860047,1/26/2024,Shipped
4755,4755,5/13/2024,FedEx,TRK030706,5/14/2024,Delivered
4756,4756,6/24/2024,UPS,TRK092900,6/25/2024,Shipped
4757,4757,11/30/2023,DHL,TRK677483,12/6/2023,Shipped
4758,4758,7/24/2024,FedEx,TRK401237,7/30/2024,Shipped
4759,4759,6/17/2024,UPS,TRK790344,6/20/2024,Shipped
4760,4760,10/3/2024,DHL,TRK634260,10/6/2024,Shipped
4761,4761,9/30/2024,FedEx,TRK909902,10/6/2024,Delivered
4762,4762,5/29/2024,UPS,TRK277540,6/2/2024,Shipped
4763,4763,7/27/2024,DHL,TRK897955,8/3/2024,Shipped
4764,4764,12/24/2023,FedEx,TRK412242,12/28/2023,Delivered
4765,4765,8/18/2024,UPS,TRK582727,8/25/2024,Delivered
4766,4766,10/16/2024,DHL,TRK629786,10/21/2024,Delivered
4767,4767,12/26/2023,FedEx,TRK786304,1/2/2024,Pending
4768,4768,8/15/2024,UPS,TRK622114,8/21/2024,Shipped
4769,4769,6/9/2024,DHL,TRK491344,6/17/2024,Delivered
4770,4770,9/12/2024,FedEx,TRK236540,9/19/2024,Delivered
4771,4771,4/10/2024,UPS,TRK941410,4/12/2024,Pending
4772,4772,11/14/2023,DHL,TRK837180,11/17/2023,Shipped
4773,4773,9/5/2024,FedEx,TRK969771,9/11/2024,Shipped
4774,4774,1/17/2024,UPS,TRK025694,1/18/2024,Delivered
4775,4775,7/17/2024,DHL,TRK045401,7/20/2024,Pending
4776,4776,9/16/2024,FedEx,TRK663634,9/23/2024,Pending
4777,4777,2/2/2024,UPS,TRK373135,2/6/2024,Delivered
4778,4778,3/29/2024,DHL,TRK079479,4/5/2024,Delivered
4779,4779,9/30/2024,FedEx,TRK391092,10/7/2024,Pending
4780,4780,4/17/2024,UPS,TRK982299,4/20/2024,Delivered
4781,4781,11/13/2023,DHL,TRK719170,11/18/2023,Delivered
4782,4782,11/26/2023,FedEx,TRK750153,11/28/2023,Cancelled
4783,4783,4/5/2024,UPS,TRK929308,4/8/2024,Cancelled
4784,4784,5/16/2024,DHL,TRK034653,5/22/2024,Delivered
4785,4785,3/30/2024,FedEx,TRK903324,4/2/2024,Delivered
4786,4786,12/19/2023,UPS,TRK044243,12/24/2023,Delivered
4787,4787,10/17/2024,DHL,TRK979593,10/20/2024,Shipped
4788,4788,6/25/2024,FedEx,TRK791113,6/26/2024,Shipped
4789,4789,1/14/2024,UPS,TRK669447,1/20/2024,Delivered
4790,4790,12/25/2023,DHL,TRK573463,12/29/2023,Shipped
4791,4791,7/22/2024,FedEx,TRK886830,7/28/2024,Pending
4792,4792,2/26/2024,UPS,TRK518045,3/4/2024,Delivered
4793,4793,9/1/2024,DHL,TRK163348,9/2/2024,Pending
4794,4794,4/12/2024,FedEx,TRK297222,4/16/2024,Shipped
4795,4795,11/21/2023,UPS,TRK032107,11/26/2023,Delivered
4796,4796,4/15/2024,DHL,TRK200433,4/20/2024,Shipped
4797,4797,10/6/2024,FedEx,TRK646756,10/8/2024,Pending
4798,4798,10/3/2024,UPS,TRK360032,10/4/2024,Pending
4799,4799,2/28/2024,DHL,TRK002305,3/2/2024,Pending
4800,4800,1/4/2024,FedEx,TRK974796,1/9/2024,Shipped
4801,4801,3/30/2024,UPS,TRK610641,4/2/2024,Delivered
4802,4802,10/12/2024,DHL,TRK910641,10/14/2024,Shipped
4803,4803,12/31/2023,FedEx,TRK006938,1/4/2024,Delivered
4804,4804,7/22/2024,UPS,TRK706257,7/24/2024,Delivered
4805,4805,9/20/2024,DHL,TRK753911,9/27/2024,Pending
4806,4806,6/18/2024,FedEx,TRK712132,6/22/2024,Delivered
4807,4807,10/11/2024,UPS,TRK305705,10/16/2024,Delivered
4808,4808,2/24/2024,DHL,TRK250519,2/28/2024,Delivered
4809,4809,2/2/2024,FedEx,TRK446330,2/5/2024,Pending
4810,4810,3/21/2024,UPS,TRK208153,3/23/2024,Shipped
4811,4811,3/2/2024,DHL,TRK114075,3/4/2024,Cancelled
4812,4812,9/30/2024,FedEx,TRK680260,10/6/2024,Delivered
4813,4813,9/16/2024,UPS,TRK441586,9/24/2024,Shipped
4814,4814,6/2/2024,DHL,TRK714942,6/8/2024,Pending
4815,4815,3/23/2024,FedEx,TRK643147,3/30/2024,Shipped
4816,4816,8/9/2024,UPS,TRK738501,8/14/2024,Shipped
4817,4817,3/14/2024,DHL,TRK997121,3/16/2024,Cancelled
4818,4818,11/15/2023,FedEx,TRK556861,11/18/2023,Pending
4819,4819,10/8/2024,UPS,TRK075212,10/9/2024,Shipped
4820,4820,10/6/2024,DHL,TRK119165,10/11/2024,Delivered
4821,4821,10/1/2024,FedEx,TRK194172,10/9/2024,Shipped
4822,4822,10/14/2024,UPS,TRK672364,10/18/2024,Shipped
4823,4823,2/2/2024,DHL,TRK961622,2/9/2024,Pending
4824,4824,3/30/2024,FedEx,TRK426149,3/31/2024,Delivered
4825,4825,8/24/2024,UPS,TRK338708,8/31/2024,Cancelled
4826,4826,1/24/2024,DHL,TRK378969,1/28/2024,Pending
4827,4827,12/19/2023,FedEx,TRK895675,12/20/2023,Delivered
4828,4828,11/25/2023,UPS,TRK837845,12/2/2023,Pending
4829,4829,1/7/2024,DHL,TRK311345,1/9/2024,Delivered
4830,4830,5/19/2024,FedEx,TRK031914,5/25/2024,Delivered
4831,4831,6/27/2024,UPS,TRK691997,6/29/2024,Delivered
4832,4832,5/27/2024,DHL,TRK096723,5/29/2024,Pending
4833,4833,1/14/2024,FedEx,TRK575100,1/17/2024,Delivered
4834,4834,3/12/2024,UPS,TRK207972,3/19/2024,Delivered
4835,4835,9/6/2024,DHL,TRK074181,9/7/2024,Pending
4836,4836,11/24/2023,FedEx,TRK393655,11/27/2023,Delivered
4837,4837,7/29/2024,UPS,TRK968317,7/31/2024,Delivered
4838,4838,5/6/2024,DHL,TRK833369,5/10/2024,Shipped
4839,4839,12/21/2023,FedEx,TRK796213,12/26/2023,Delivered
4840,4840,6/24/2024,UPS,TRK876536,6/28/2024,Shipped
4841,4841,3/8/2024,DHL,TRK431436,3/15/2024,Pending
4842,4842,6/16/2024,FedEx,TRK789391,6/21/2024,Shipped
4843,4843,9/8/2024,UPS,TRK284493,9/14/2024,Pending
4844,4844,7/24/2024,DHL,TRK269075,7/31/2024,Pending
4845,4845,4/6/2024,FedEx,TRK284184,4/10/2024,Pending
4846,4846,4/29/2024,UPS,TRK141154,5/6/2024,Cancelled
4847,4847,8/10/2024,DHL,TRK812254,8/16/2024,Cancelled
4848,4848,11/29/2023,FedEx,TRK105260,12/2/2023,Cancelled
4849,4849,9/24/2024,UPS,TRK153736,9/30/2024,Cancelled
4850,4850,4/18/2024,DHL,TRK901689,4/19/2024,Pending
4851,4851,7/9/2024,FedEx,TRK846769,7/12/2024,Delivered
4852,4852,7/11/2024,UPS,TRK634437,7/15/2024,Shipped
4853,4853,10/18/2024,DHL,TRK581281,10/23/2024,Delivered
4854,4854,1/26/2024,FedEx,TRK615707,2/2/2024,Shipped
4855,4855,4/12/2024,UPS,TRK504450,4/20/2024,Pending
4856,4856,9/13/2024,DHL,TRK342136,9/21/2024,Shipped
4857,4857,10/26/2024,FedEx,TRK929769,11/2/2024,Shipped
4858,4858,8/9/2024,UPS,TRK943860,8/11/2024,Shipped
4859,4859,6/28/2024,DHL,TRK701259,7/5/2024,Pending
4860,4860,10/28/2024,FedEx,TRK731214,10/30/2024,Delivered
4861,4861,2/29/2024,UPS,TRK860795,3/2/2024,Pending
4862,4862,2/23/2024,DHL,TRK762840,2/25/2024,Pending
4863,4863,9/14/2024,FedEx,TRK463367,9/21/2024,Pending
4864,4864,2/29/2024,UPS,TRK004664,3/6/2024,Delivered
4865,4865,9/4/2024,DHL,TRK691320,9/8/2024,Shipped
4866,4866,12/10/2023,FedEx,TRK880262,12/15/2023,Shipped
4867,4867,2/6/2024,UPS,TRK728066,2/11/2024,Shipped
4868,4868,3/5/2024,DHL,TRK777584,3/13/2024,Delivered
4869,4869,8/5/2024,FedEx,TRK698331,8/9/2024,Delivered
4870,4870,11/23/2023,UPS,TRK957780,11/27/2023,Delivered
4871,4871,4/16/2024,DHL,TRK366806,4/23/2024,Delivered
4872,4872,12/28/2023,FedEx,TRK313321,1/2/2024,Shipped
4873,4873,10/17/2024,UPS,TRK236107,10/25/2024,Delivered
4874,4874,6/29/2024,DHL,TRK340158,7/1/2024,Pending
4875,4875,4/6/2024,FedEx,TRK226549,4/11/2024,Delivered
4876,4876,8/25/2024,UPS,TRK589946,8/31/2024,Shipped
4877,4877,7/8/2024,DHL,TRK268347,7/15/2024,Delivered
4878,4878,10/5/2024,FedEx,TRK207313,10/11/2024,Shipped
4879,4879,3/13/2024,UPS,TRK210612,3/17/2024,Delivered
4880,4880,3/22/2024,DHL,TRK887289,3/26/2024,Pending
4881,4881,1/4/2024,FedEx,TRK784345,1/11/2024,Shipped
4882,4882,9/22/2024,UPS,TRK018465,9/24/2024,Pending
4883,4883,2/7/2024,DHL,TRK682930,2/12/2024,Delivered
4884,4884,6/22/2024,FedEx,TRK156622,6/29/2024,Shipped
4885,4885,12/13/2023,UPS,TRK348796,12/20/2023,Pending
4886,4886,3/22/2024,DHL,TRK248719,3/28/2024,Delivered
4887,4887,11/29/2023,FedEx,TRK360360,12/3/2023,Delivered
4888,4888,12/15/2023,UPS,TRK670736,12/22/2023,Delivered
4889,4889,2/29/2024,DHL,TRK659949,3/6/2024,Shipped
4890,4890,5/14/2024,FedEx,TRK027525,5/18/2024,Delivered
4891,4891,5/14/2024,UPS,TRK915033,5/16/2024,Shipped
4892,4892,8/11/2024,DHL,TRK424756,8/17/2024,Delivered
4893,4893,10/16/2024,FedEx,TRK851031,10/23/2024,Delivered
4894,4894,6/28/2024,UPS,TRK985787,7/5/2024,Shipped
4895,4895,2/27/2024,DHL,TRK963095,3/4/2024,Shipped
4896,4896,10/4/2024,FedEx,TRK973079,10/8/2024,Delivered
4897,4897,11/16/2023,UPS,TRK543320,11/17/2023,Shipped
4898,4898,2/15/2024,DHL,TRK505994,2/21/2024,Pending
4899,4899,7/22/2024,FedEx,TRK520451,7/24/2024,Shipped
4900,4900,8/11/2024,UPS,TRK479800,8/14/2024,Delivered
4901,4901,3/3/2024,DHL,TRK622855,3/7/2024,Delivered
4902,4902,3/21/2024,FedEx,TRK330251,3/27/2024,Delivered
4903,4903,10/15/2024,UPS,TRK123588,10/18/2024,Shipped
4904,4904,3/9/2024,DHL,TRK466661,3/15/2024,Pending
4905,4905,2/13/2024,FedEx,TRK783539,2/18/2024,Shipped
4906,4906,10/14/2024,UPS,TRK400768,10/17/2024,Delivered
4907,4907,6/17/2024,DHL,TRK390967,6/25/2024,Pending
4908,4908,7/12/2024,FedEx,TRK549568,7/13/2024,Cancelled
4909,4909,6/5/2024,UPS,TRK864081,6/7/2024,Delivered
4910,4910,3/31/2024,DHL,TRK715918,4/2/2024,Delivered
4911,4911,9/5/2024,FedEx,TRK244344,9/10/2024,Delivered
4912,4912,12/4/2023,UPS,TRK413754,12/6/2023,Shipped
4913,4913,8/12/2024,DHL,TRK853271,8/15/2024,Shipped
4914,4914,12/9/2023,FedEx,TRK124777,12/13/2023,Shipped
4915,4915,5/13/2024,UPS,TRK732011,5/19/2024,Delivered
4916,4916,2/8/2024,DHL,TRK132937,2/14/2024,Pending
4917,4917,4/18/2024,FedEx,TRK535406,4/22/2024,Shipped
4918,4918,11/20/2023,UPS,TRK914952,11/26/2023,Pending
4919,4919,1/2/2024,DHL,TRK509542,1/8/2024,Pending
4920,4920,6/14/2024,FedEx,TRK550298,6/19/2024,Pending
4921,4921,10/11/2024,UPS,TRK360223,10/19/2024,Delivered
4922,4922,5/27/2024,DHL,TRK924943,6/2/2024,Delivered
4923,4923,4/9/2024,FedEx,TRK157285,4/12/2024,Pending
4924,4924,3/7/2024,UPS,TRK693397,3/13/2024,Shipped
4925,4925,9/19/2024,DHL,TRK661470,9/22/2024,Delivered
4926,4926,4/26/2024,FedEx,TRK276903,4/30/2024,Delivered
4927,4927,12/10/2023,UPS,TRK361321,12/11/2023,Pending
4928,4928,4/1/2024,DHL,TRK711978,4/2/2024,Shipped
4929,4929,4/19/2024,FedEx,TRK057713,4/23/2024,Shipped
4930,4930,7/18/2024,UPS,TRK170104,7/22/2024,Shipped
4931,4931,2/25/2024,DHL,TRK838672,3/1/2024,Delivered
4932,4932,2/13/2024,FedEx,TRK885065,2/15/2024,Shipped
4933,4933,7/25/2024,UPS,TRK834931,8/1/2024,Delivered
4934,4934,12/2/2023,DHL,TRK452145,12/5/2023,Shipped
4935,4935,8/14/2024,FedEx,TRK756672,8/21/2024,Delivered
4936,4936,4/27/2024,UPS,TRK950709,5/3/2024,Shipped
4937,4937,3/17/2024,DHL,TRK744569,3/21/2024,Shipped
4938,4938,7/28/2024,FedEx,TRK282775,8/3/2024,Shipped
4939,4939,11/20/2023,UPS,TRK229337,11/24/2023,Cancelled
4940,4940,4/19/2024,DHL,TRK923655,4/27/2024,Shipped
4941,4941,5/6/2024,FedEx,TRK099417,5/10/2024,Shipped
4942,4942,6/6/2024,UPS,TRK147065,6/8/2024,Pending
4943,4943,7/25/2024,DHL,TRK437976,7/31/2024,Delivered
4944,4944,12/24/2023,FedEx,TRK861971,12/28/2023,Pending
4945,4945,12/16/2023,UPS,TRK100778,12/21/2023,Pending
4946,4946,12/22/2023,DHL,TRK524661,12/25/2023,Shipped
4947,4947,11/22/2023,FedEx,TRK371152,11/23/2023,Delivered
4948,4948,11/27/2023,UPS,TRK101566,11/29/2023,Delivered
4949,4949,2/12/2024,DHL,TRK196269,2/14/2024,Shipped
4950,4950,3/14/2024,FedEx,TRK495303,3/19/2024,Delivered
4951,4951,3/25/2024,UPS,TRK060519,3/30/2024,Delivered
4952,4952,7/3/2024,DHL,TRK413917,7/11/2024,Pending
4953,4953,3/6/2024,FedEx,TRK531827,3/10/2024,Delivered
4954,4954,5/14/2024,UPS,TRK088402,5/16/2024,Delivered
4955,4955,10/22/2024,DHL,TRK524504,10/30/2024,Shipped
4956,4956,7/26/2024,FedEx,TRK340842,7/31/2024,Pending
4957,4957,7/12/2024,UPS,TRK883377,7/14/2024,Shipped
4958,4958,9/28/2024,DHL,TRK180981,10/2/2024,Pending
4959,4959,7/4/2024,FedEx,TRK296485,7/8/2024,Pending
4960,4960,7/21/2024,UPS,TRK383789,7/22/2024,Delivered
4961,4961,1/2/2024,DHL,TRK981439,1/3/2024,Delivered
4962,4962,8/19/2024,FedEx,TRK998101,8/24/2024,Pending
4963,4963,7/24/2024,UPS,TRK675649,7/25/2024,Shipped
4964,4964,5/21/2024,DHL,TRK792855,5/22/2024,Delivered
4965,4965,11/10/2023,FedEx,TRK312147,11/11/2023,Pending
4966,4966,5/23/2024,UPS,TRK610685,5/27/2024,Pending
4967,4967,4/16/2024,DHL,TRK213561,4/20/2024,Shipped
4968,4968,2/17/2024,FedEx,TRK759390,2/24/2024,Shipped
4969,4969,3/12/2024,UPS,TRK456718,3/19/2024,Delivered
4970,4970,4/27/2024,DHL,TRK094768,4/30/2024,Shipped
4971,4971,2/15/2024,FedEx,TRK303372,2/21/2024,Delivered
4972,4972,1/23/2024,UPS,TRK654068,1/27/2024,Shipped
4973,4973,11/22/2023,DHL,TRK141932,11/26/2023,Delivered
4974,4974,7/29/2024,FedEx,TRK296513,8/5/2024,Shipped
4975,4975,7/11/2024,UPS,TRK717462,7/16/2024,Pending
4976,4976,4/15/2024,DHL,TRK406665,4/17/2024,Cancelled
4977,4977,11/28/2023,FedEx,TRK428162,11/30/2023,Cancelled
4978,4978,9/3/2024,UPS,TRK572169,9/11/2024,Delivered
4979,4979,5/29/2024,DHL,TRK422418,6/6/2024,Shipped
4980,4980,11/18/2023,FedEx,TRK032246,11/19/2023,Delivered
4981,4981,2/15/2024,UPS,TRK030609,2/22/2024,Shipped
4982,4982,6/19/2024,DHL,TRK620240,6/27/2024,Delivered
